reg_fcode,name,parent,level
FESMIC,Micronesia,PACISZ,4
NAURU,Nauru,PACISZ,4
PALAU,Palau,PACISZ,4
PAPNG,Papua New Guinea,PACISZ,4
WSOMOA,Samoa,PACISZ,4
SOLIL,Solomon Islands,PACISZ,4
TONGA,Tonga,PACISZ,4
TVLU,Tuvalu,PACISZ,4
VANU,Vanuatu,PACISZ,4
ARG,Argentina,SAMZ,4
BOL,Bolivia,SAMZ,4
BRAZ,Brazil,SAMZ,4
CHIL,Chile,SAMZ,4
COL,Colombia,SAMZ,4
ECU,Ecuador,SAMZ,4
GUY,Guyana,SAMZ,4
PARA,Paraguay,SAMZ,4
PERU,Peru,SAMZ,4
SURM,Suriname,SAMZ,4
URU,Uruguay,SAMZ,4
VEN,Venezuela,SAMZ,4
MALDR,Maldives,SASIAZ,4
DEN,Denmark,SCANDZ,4
NORW,Norway,SCANDZ,4
SWED,Sweden,SCANDZ,4
BRUNEI,Brunei,SEASIAZ,4
INDON,Indonesia,SEASIAZ,4
MALAY,Malaysia,SEASIAZ,4
BURMA,Myanmar,SEASIAZ,4
PHLNS,Philippines,SEASIAZ,4
SINGP,Singapore,SEASIAZ,4
THAIL,Thailand,SEASIAZ,4
TIMOR,Timor-Leste,SEASIAZ,4
ANGOL,Angola,SOUAFRZ,4
BOTS,Botswana,SOUAFRZ,4
SWAZD,Eswatini,SOUAFRZ,4
LESOT,Lesotho,SOUAFRZ,4
MALAW,Malawi,SOUAFRZ,4
NAMIB,Namibia,SOUAFRZ,4
SAFR,South Africa,SOUAFRZ,4
ZAMBIA,Zambia,SOUAFRZ,4
ZIMBAB,Zimbabwe,SOUAFRZ,4
ELAND,England,UK,4
NIREL,Northern Ireland,UK,4
SCOT,Scotland,UK,4
WALES,Wales,UK,4
BENIN,Benin,WAFRZ,4
UPVOLA,Burkina Faso,WAFRZ,4
ICST,Cote d'Ivoire,WAFRZ,4
GAMB,Gambia,WAFRZ,4
GHANA,Ghana,WAFRZ,4
GUREP,Guinea,WAFRZ,4
GUBI,Guinea-Bissau,WAFRZ,4
LIBER,Liberia,WAFRZ,4
MALI,Mali,WAFRZ,4
NIGER,Niger,WAFRZ,4
NIGEA,Nigeria,WAFRZ,4
SENEG,Senegal,WAFRZ,4
SILEN,Sierra Leone,WAFRZ,4
TOGO,Togo,WAFRZ,4
ARMEN,Armenia,WASIAZ,4
AZERB,Azerbaijan,WASIAZ,4
CYPR,Cyprus,WASIAZ,4
GRGIA,Georgia,WASIAZ,4
ISRAEL,Israel,WASIAZ,4
JORDAN,Jordan,WASIAZ,4
LEBAN,Lebanon,WASIAZ,4
SYRIA,Syria,WASIAZ,4
TURK,Turkey,WASIAZ,4
YEMAR,Yemen,WASIAZ,4
ANDO,Andorra,WEURZ,4
FRA,France,WEURZ,4
IRE,Ireland,WEURZ,4
ITALY,Italy,WEURZ,4
LIECHT,Liechtenstein,WEURZ,4
MALTA,Malta,WEURZ,4
PORL,Portugal,WEURZ,4
SMARNO,San Marino,WEURZ,4
SPAIN,Spain,WEURZ,4
